//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 9-4-2026
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.05, 22.09
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
228	10.40	104 	1.113
229	10.41	104 	1.118
230	10.43	104 	1.123
231	10.44	104 	1.128
232	10.46	105 	1.133
233	10.47	105 	1.138
234	10.49	105 	1.143
235	10.50	105 	1.147
236	10.52	105 	1.152
237	10.53	105 	1.157
238	10.55	105 	1.162
239	10.56	106 	1.167
240	10.58	106 	1.172
241	10.59	106 	1.177
242	10.60	106 	1.182
243	10.62	106 	1.187
244	10.63	106 	1.191
245	10.65	106 	1.196
246	10.66	107 	1.201
247	10.68	107 	1.206
248	10.69	107 	1.211
249	10.71	107 	1.216
250	10.72	107 	1.221
251	10.74	107 	1.226
252	10.75	108 	1.230
253	10.77	108 	1.235
254	10.78	108 	1.240
255	10.80	108 	1.245
256	10.81	108 	1.250
257	10.82	108 	1.255
258	10.84	108 	1.260
259	10.85	109 	1.265
260	10.87	109 	1.270
261	10.88	109 	1.274
262	10.90	109 	1.279
263	10.91	109 	1.284
264	10.93	109 	1.289
265	10.94	109 	1.294
266	10.96	110 	1.299
267	10.97	110 	1.304
268	10.99	110 	1.309
269	11.00	110 	1.313
270	11.02	110 	1.318
271	11.03	110 	1.323
272	11.05	110 	1.328
273	11.06	111 	1.333
274	11.07	111 	1.338
275	11.09	111 	1.343
276	11.10	111 	1.348
277	11.12	111 	1.353
278	11.13	111 	1.357
279	11.15	111 	1.362
280	11.16	112 	1.367
281	11.18	112 	1.372
282	11.19	112 	1.377
283	11.21	112 	1.382
284	11.22	112 	1.387
285	11.24	112 	1.392
286	11.25	113 	1.396
287	11.27	113 	1.401
288	11.28	113 	1.406
289	11.29	113 	1.411
290	11.31	113 	1.416
291	11.32	113 	1.421
292	11.34	113 	1.426
293	11.35	114 	1.431
294	11.37	114 	1.436
295	11.38	114 	1.440
296	11.40	114 	1.445
297	11.41	114 	1.450
298	11.43	114 	1.455
299	11.44	114 	1.460
300	11.46	115 	1.465
301	11.47	115 	1.470
302	11.49	115 	1.475
303	11.50	115 	1.479
304	11.52	115 	1.484
305	11.53	115 	1.489
306	11.54	115 	1.494
307	11.56	116 	1.499
308	11.57	116 	1.504
309	11.59	116 	1.509
310	11.60	116 	1.514
311	11.62	116 	1.519
312	11.63	116 	1.523
313	11.65	116 	1.528
314	11.66	117 	1.533
315	11.68	117 	1.538
316	11.69	117 	1.543
317	11.71	117 	1.548
318	11.72	117 	1.553
319	11.74	117 	1.558
320	11.75	118 	1.563
321	11.76	118 	1.567
322	11.78	118 	1.572
323	11.79	118 	1.577
324	11.81	118 	1.582
325	11.82	118 	1.587
326	11.84	118 	1.592
327	11.85	119 	1.597
328	11.87	119 	1.602
329	11.88	119 	1.606
330	11.90	119 	1.611
331	11.91	119 	1.616
332	11.93	119 	1.621
333	11.94	119 	1.626
334	11.96	120 	1.631
335	11.97	120 	1.636
336	11.99	120 	1.641
337	12.00	120 	1.646
338	12.01	120 	1.650
339	12.03	120 	1.655
340	12.04	120 	1.660
341	12.06	121 	1.665
342	12.07	121 	1.670
343	12.09	121 	1.675
344	12.10	121 	1.680
345	12.12	121 	1.685
346	12.13	121 	1.689
347	12.15	121 	1.694
348	12.16	122 	1.699
349	12.18	122 	1.704
350	12.19	122 	1.709
351	12.21	122 	1.714
352	12.22	122 	1.719
353	12.23	122 	1.724
354	12.25	122 	1.729
355	12.26	123 	1.733
356	12.28	123 	1.738
357	12.29	123 	1.743
358	12.31	123 	1.748
359	12.32	123 	1.753
360	12.34	123 	1.758
361	12.35	124 	1.763
362	12.37	124 	1.768
363	12.38	124 	1.772
364	12.40	124 	1.777
365	12.41	124 	1.782
366	12.43	124 	1.787
367	12.44	124 	1.792
368	12.46	125 	1.797
369	12.47	125 	1.802
370	12.48	125 	1.807
371	12.50	125 	1.812
372	12.51	125 	1.816
373	12.53	125 	1.821
374	12.54	125 	1.826
375	12.56	126 	1.831
376	12.57	126 	1.836
377	12.59	126 	1.841
378	12.60	126 	1.846
379	12.62	126 	1.851
380	12.63	126 	1.855
381	12.65	126 	1.860
382	12.66	127 	1.865
383	12.68	127 	1.870
384	12.69	127 	1.875
385	12.70	127 	1.880
386	12.72	127 	1.885
387	12.73	127 	1.890
388	12.75	127 	1.895
389	12.76	128 	1.899
390	12.78	128 	1.904
391	12.79	128 	1.909
392	12.81	128 	1.914
393	12.82	128 	1.919
394	12.84	128 	1.924
395	12.85	129 	1.929
396	12.87	129 	1.934
397	12.88	129 	1.938
398	12.90	129 	1.943
399	12.91	129 	1.948
400	12.93	129 	1.953
401	12.94	129 	1.958
402	12.95	130 	1.963
403	12.97	130 	1.968
404	12.98	130 	1.973
405	13.00	130 	1.978
406	13.01	130 	1.982
407	13.03	130 	1.987
408	13.04	130 	1.992
409	13.06	131 	1.997
410	13.07	131 	2.002
411	13.09	131 	2.007
412	13.10	131 	2.012
413	13.12	131 	2.017
414	13.13	131 	2.021
415	13.15	131 	2.026
416	13.16	132 	2.031
417	13.17	132 	2.036
418	13.19	132 	2.041
419	13.20	132 	2.046
420	13.22	132 	2.051
421	13.23	132 	2.056
422	13.25	132 	2.061
423	13.26	133 	2.065
424	13.28	133 	2.070
425	13.29	133 	2.075
426	13.31	133 	2.080
427	13.32	133 	2.085
428	13.34	133 	2.090
429	13.35	134 	2.095
430	13.37	134 	2.100
431	13.38	134 	2.104
432	13.40	134 	2.109
433	13.41	134 	2.114
434	13.42	134 	2.119
435	13.44	134 	2.124
436	13.45	135 	2.129
437	13.47	135 	2.134
438	13.48	135 	2.139
439	13.50	135 	2.144
440	13.51	135 	2.148
441	13.53	135 	2.153
442	13.54	135 	2.158
443	13.56	136 	2.163
444	13.57	136 	2.168
445	13.59	136 	2.173
446	13.60	136 	2.178
447	13.62	136 	2.183
448	13.63	136 	2.188
